"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","Create New Account @smoke @api","webkit","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","2073","Empty Password Validation","webkit","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","202","Get Account @smoke @api @regression","chromium","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","313","Get Account @api @regression","webkit","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","28","Get Account","chromium","2026-05-17","passed","2026-05-17","ParaBank Account APIs","api.spec.ts","",""
"","904","Password Mismatch Validation","chromium","2026-05-17","passed","2026-05-17","Parabank UI Scenarios","ui.spec.ts","",""
"","85","Get Account @smoke @api @regression","firefox","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","1117","Empty Username Validation","chromium","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","513","UI page load time should be reasonable","chromium","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
"","87","Get Account @smoke @api @regression","webkit","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","2134","Invalid Username and Password","webkit","2026-05-20","passed","2026-05-20","Parabank Negative UI Scenarios > Login Negative Scenarios","negative.spec.ts","",""
"","1938","Parabank UI Flow","chromium","2026-05-17","passed","2026-05-17","Parabank UI Scenarios","ui.spec.ts","",""
"","109","TC-NEG-API-01 - GET accounts for non-existent customer ID @api","webkit","2026-05-20","passed","2026-05-20","ParaBank Account APIs","api.spec.ts","",""
"","2608","UI page load time should be reasonable","firefox","2026-05-20","passed","2026-05-20","Performance Lite Tests @performance","performance.spec.ts","",""
